"","x","album_name","track_title","word","sentiment","method"
"1",4,"The College Dropout","Intro","beautiful",3,"AFINN"
"2",4,"The College Dropout","Intro","love",3,"AFINN"
"3",8,"The College Dropout","We Don't Care","perfect",3,"AFINN"
"4",13,"The College Dropout","We Don't Care","alive",1,"AFINN"
"5",15,"The College Dropout","We Don't Care","care",2,"AFINN"
"6",18,"The College Dropout","We Don't Care","granted",1,"AFINN"
"7",21,"The College Dropout","We Don't Care","broke",-1,"AFINN"
"8",23,"The College Dropout","We Don't Care","care",2,"AFINN"
"9",24,"The College Dropout","We Don't Care","niggas",-5,"AFINN"
"10",29,"The College Dropout","We Don't Care","ass",-4,"AFINN"
"11",30,"The College Dropout","We Don't Care","forced",-1,"AFINN"
"12",31,"The College Dropout","We Don't Care","ass",-4,"AFINN"
"13",36,"The College Dropout","We Don't Care","alive",1,"AFINN"
"14",38,"The College Dropout","We Don't Care","care",2,"AFINN"
"15",43,"The College Dropout","We Don't Care","shit",-4,"AFINN"
"16",46,"The College Dropout","We Don't Care","care",2,"AFINN"
"17",52,"The College Dropout","We Don't Care","hard",-1,"AFINN"
"18",53,"The College Dropout","We Don't Care","hard",-1,"AFINN"
"19",53,"The College Dropout","We Don't Care","straight",1,"AFINN"
"20",55,"The College Dropout","We Don't Care","care",2,"AFINN"
"21",60,"The College Dropout","We Don't Care","alive",1,"AFINN"
"22",62,"The College Dropout","We Don't Care","care",2,"AFINN"
"23",63,"The College Dropout","We Don't Care","fool",-2,"AFINN"
"24",64,"The College Dropout","We Don't Care","stop",-1,"AFINN"
"25",67,"The College Dropout","We Don't Care","favorite",2,"AFINN"
"26",68,"The College Dropout","We Don't Care","scream",-2,"AFINN"
"27",68,"The College Dropout","We Don't Care","smart",1,"AFINN"
"28",72,"The College Dropout","We Don't Care","sad",-2,"AFINN"
"29",75,"The College Dropout","We Don't Care","cut",-1,"AFINN"
"30",76,"The College Dropout","We Don't Care","abandoned",-2,"AFINN"
"31",79,"The College Dropout","We Don't Care","care",2,"AFINN"
"32",79,"The College Dropout","We Don't Care","niggas",-5,"AFINN"
"33",84,"The College Dropout","We Don't Care","alive",1,"AFINN"
"34",86,"The College Dropout","We Don't Care","care",2,"AFINN"
"35",87,"The College Dropout","Graduation Day","fuck",-4,"AFINN"
"36",87,"The College Dropout","Graduation Day","shit",-4,"AFINN"
"37",88,"The College Dropout","Graduation Day","fuck",-8,"AFINN"
"38",88,"The College Dropout","Graduation Day","jokes",2,"AFINN"
"39",88,"The College Dropout","Graduation Day","nice",3,"AFINN"
"40",88,"The College Dropout","Graduation Day","shit",-4,"AFINN"
"41",89,"The College Dropout","Graduation Day","confused",-2,"AFINN"
"42",92,"The College Dropout","Graduation Day","kill",-3,"AFINN"
"43",93,"The College Dropout","Graduation Day","ass",-4,"AFINN"
"44",107,"The College Dropout","All Falls Down (Ft. Syleena Johnson)","promise",1,"AFINN"
"45",110,"The College Dropout","All Falls Down (Ft. Syleena Johnson)","drop",-1,"AFINN"
"46",110,"The College Dropout","All Falls Down (Ft. Syleena Johnson)","funny",4,"AFINN"
"47",114,"The College Dropout","All Falls Down (Ft. Syleena Johnson)","fuck",-4,"AFINN"
"48",116,"The College Dropout","All Falls Down (Ft. Syleena Johnson)","care",2,"AFINN"
"49",117,"The College Dropout","All Falls Down (Ft. Syleena Johnson)","pressure",-1,"AFINN"
"50",120,"The College Dropout","All Falls Down (Ft. Syleena Johnson)","cut",-1,"AFINN"
"51",129,"The College Dropout","All Falls Down (Ft. Syleena Johnson)","promise",1,"AFINN"
"52",131,"The College Dropout","All Falls Down (Ft. Syleena Johnson)","crazy",-2,"AFINN"
"53",136,"The College Dropout","All Falls Down (Ft. Syleena Johnson)","clean",2,"AFINN"
"54",137,"The College Dropout","All Falls Down (Ft. Syleena Johnson)","dream",1,"AFINN"
"55",138,"The College Dropout","All Falls Down (Ft. Syleena Johnson)","lowest",-1,"AFINN"
"56",140,"The College Dropout","All Falls Down (Ft. Syleena Johnson)","diamond",1,"AFINN"
"57",141,"The College Dropout","All Falls Down (Ft. Syleena Johnson)","degrade",-2,"AFINN"
"58",141,"The College Dropout","All Falls Down (Ft. Syleena Johnson)","hate",-3,"AFINN"
"59",154,"The College Dropout","All Falls Down (Ft. Syleena Johnson)","fuck",-4,"AFINN"
"60",155,"The College Dropout","All Falls Down (Ft. Syleena Johnson)","freedom",2,"AFINN"
"61",158,"The College Dropout","All Falls Down (Ft. Syleena Johnson)","hate",-3,"AFINN"
"62",158,"The College Dropout","All Falls Down (Ft. Syleena Johnson)","love",3,"AFINN"
"63",158,"The College Dropout","All Falls Down (Ft. Syleena Johnson)","wealth",3,"AFINN"
"64",163,"The College Dropout","All Falls Down (Ft. Syleena Johnson)","fuck",-4,"AFINN"
"65",168,"The College Dropout","All Falls Down (Ft. Syleena Johnson)","terrific",4,"AFINN"
"66",171,"The College Dropout","All Falls Down (Ft. Syleena Johnson)","admit",-1,"AFINN"
"67",188,"The College Dropout","All Falls Down (Ft. Syleena Johnson)","safe",1,"AFINN"
"68",188,"The College Dropout","All Falls Down (Ft. Syleena Johnson)","saved",2,"AFINN"
"69",192,"The College Dropout","I'll Fly Away","glad",3,"AFINN"
"70",196,"The College Dropout","I'll Fly Away","joy",3,"AFINN"
"71",198,"The College Dropout","I'll Fly Away","glory",2,"AFINN"
"72",200,"The College Dropout","I'll Fly Away","die",-3,"AFINN"
"73",202,"The College Dropout","Spaceship (Ft. Consequence & GLC)","shit",-4,"AFINN"
"74",204,"The College Dropout","Spaceship (Ft. Consequence & GLC)","shit",-4,"AFINN"
"75",206,"The College Dropout","Spaceship (Ft. Consequence & GLC)","insults",-2,"AFINN"
"76",208,"The College Dropout","Spaceship (Ft. Consequence & GLC)","fuck",-4,"AFINN"
"77",218,"The College Dropout","Spaceship (Ft. Consequence & GLC)","love",3,"AFINN"
"78",226,"The College Dropout","Spaceship (Ft. Consequence & GLC)","struggle",-2,"AFINN"
"79",228,"The College Dropout","Spaceship (Ft. Consequence & GLC)","love",3,"AFINN"
"80",237,"The College Dropout","Spaceship (Ft. Consequence & GLC)","shit",-4,"AFINN"
"81",239,"The College Dropout","Spaceship (Ft. Consequence & GLC)","shit",-4,"AFINN"
"82",245,"The College Dropout","Spaceship (Ft. Consequence & GLC)","lost",-6,"AFINN"
"83",246,"The College Dropout","Spaceship (Ft. Consequence & GLC)","love",3,"AFINN"
"84",248,"The College Dropout","Spaceship (Ft. Consequence & GLC)","leave",-1,"AFINN"
"85",253,"The College Dropout","Spaceship (Ft. Consequence & GLC)","reach",1,"AFINN"
"86",254,"The College Dropout","Spaceship (Ft. Consequence & GLC)","haters",-3,"AFINN"
"87",260,"The College Dropout","Spaceship (Ft. Consequence & GLC)","sweet",2,"AFINN"
"88",262,"The College Dropout","Spaceship (Ft. Consequence & GLC)","god",1,"AFINN"
"89",263,"The College Dropout","Spaceship (Ft. Consequence & GLC)","hope",2,"AFINN"
"90",265,"The College Dropout","Spaceship (Ft. Consequence & GLC)","love",3,"AFINN"
"91",268,"The College Dropout","Spaceship (Ft. Consequence & GLC)","peace",2,"AFINN"
"92",271,"The College Dropout","Spaceship (Ft. Consequence & GLC)","pressure",-1,"AFINN"
"93",272,"The College Dropout","Spaceship (Ft. Consequence & GLC)","shit",-4,"AFINN"
"94",274,"The College Dropout","Spaceship (Ft. Consequence & GLC)","shit",-4,"AFINN"
"95",278,"The College Dropout","Spaceship (Ft. Consequence & GLC)","damn",-4,"AFINN"
"96",282,"The College Dropout","Spaceship (Ft. Consequence & GLC)","easy",2,"AFINN"
"97",288,"The College Dropout","Spaceship (Ft. Consequence & GLC)","catastrophe",-3,"AFINN"
"98",289,"The College Dropout","Spaceship (Ft. Consequence & GLC)","fair",2,"AFINN"
"99",292,"The College Dropout","Spaceship (Ft. Consequence & GLC)","shit",-4,"AFINN"
"100",294,"The College Dropout","Spaceship (Ft. Consequence & GLC)","shit",-4,"AFINN"
"101",299,"The College Dropout","Jesus Walks","war",-2,"AFINN"
"102",300,"The College Dropout","Jesus Walks","racism",-3,"AFINN"
