"","X","album_name","track_title","track_n","line","word","sentiment","x"
"1",2,"The College Dropout","Intro",1,2,"faculty","trust",2
"2",4,"The College Dropout","Intro",1,4,"beautiful","joy",4
"3",4,"The College Dropout","Intro",1,4,"love","joy",4
"4",5,"The College Dropout","Intro",1,5,"start","anticipation",5
"5",6,"The College Dropout","Intro",1,6,"graduation","anticipation",6
"6",6,"The College Dropout","Intro",1,6,"graduation","fear",6
"7",6,"The College Dropout","Intro",1,6,"graduation","joy",6
"8",6,"The College Dropout","Intro",1,6,"graduation","surprise",6
"9",6,"The College Dropout","Intro",1,6,"graduation","trust",6
"10",6,"The College Dropout","Intro",1,6,"sing","anticipation",6
"11",6,"The College Dropout","Intro",1,6,"sing","joy",6
"12",6,"The College Dropout","Intro",1,6,"sing","sadness",6
"13",6,"The College Dropout","Intro",1,6,"sing","trust",6
"14",8,"The College Dropout","We Don't Care",2,2,"perfect","anticipation",8
"15",8,"The College Dropout","We Don't Care",2,2,"perfect","joy",8
"16",8,"The College Dropout","We Don't Care",2,2,"perfect","trust",8
"17",8,"The College Dropout","We Don't Care",2,2,"sing","anticipation",8
"18",8,"The College Dropout","We Don't Care",2,2,"sing","joy",8
"19",8,"The College Dropout","We Don't Care",2,2,"sing","sadness",8
"20",8,"The College Dropout","We Don't Care",2,2,"sing","trust",8
"21",11,"The College Dropout","We Don't Care",2,5,"money","anger",11
"22",11,"The College Dropout","We Don't Care",2,5,"money","anticipation",11
"23",11,"The College Dropout","We Don't Care",2,5,"money","joy",11
"24",11,"The College Dropout","We Don't Care",2,5,"money","surprise",11
"25",11,"The College Dropout","We Don't Care",2,5,"money","trust",11
"26",13,"The College Dropout","We Don't Care",2,7,"alive","anticipation",13
"27",13,"The College Dropout","We Don't Care",2,7,"alive","joy",13
"28",13,"The College Dropout","We Don't Care",2,7,"alive","trust",13
"29",16,"The College Dropout","We Don't Care",2,10,"time","anticipation",16
"30",21,"The College Dropout","We Don't Care",2,15,"broke","fear",21
"31",21,"The College Dropout","We Don't Care",2,15,"broke","sadness",21
"32",26,"The College Dropout","We Don't Care",2,20,"hood","anger",26
"33",26,"The College Dropout","We Don't Care",2,20,"hood","disgust",26
"34",26,"The College Dropout","We Don't Care",2,20,"hood","fear",26
"35",27,"The College Dropout","We Don't Care",2,21,"money","anger",27
"36",27,"The College Dropout","We Don't Care",2,21,"money","anticipation",27
"37",27,"The College Dropout","We Don't Care",2,21,"money","joy",27
"38",27,"The College Dropout","We Don't Care",2,21,"money","surprise",27
"39",27,"The College Dropout","We Don't Care",2,21,"money","trust",27
"40",27,"The College Dropout","We Don't Care",2,21,"scholarship","joy",27
"41",28,"The College Dropout","We Don't Care",2,22,"ambition","anticipation",28
"42",28,"The College Dropout","We Don't Care",2,22,"ambition","joy",28
"43",28,"The College Dropout","We Don't Care",2,22,"ambition","trust",28
"44",30,"The College Dropout","We Don't Care",2,24,"forced","fear",30
"45",33,"The College Dropout","We Don't Care",2,27,"money","anger",33
"46",33,"The College Dropout","We Don't Care",2,27,"money","anticipation",33
"47",33,"The College Dropout","We Don't Care",2,27,"money","joy",33
"48",33,"The College Dropout","We Don't Care",2,27,"money","surprise",33
"49",33,"The College Dropout","We Don't Care",2,27,"money","trust",33
"50",34,"The College Dropout","We Don't Care",2,28,"sing","anticipation",34
"51",34,"The College Dropout","We Don't Care",2,28,"sing","joy",34
"52",34,"The College Dropout","We Don't Care",2,28,"sing","sadness",34
"53",34,"The College Dropout","We Don't Care",2,28,"sing","trust",34
"54",34,"The College Dropout","We Don't Care",2,28,"sing","anticipation",34
