"","album_name","track_title","track_n","lyric","line"
"1","The College Dropout","Intro",1,"Kanye, can I talk to you for a minute?",1
"2","The College Dropout","Intro",1,"Me and the other faculty members was wonderin'",2
"3","The College Dropout","Intro",1,"Could you do a lil' som...",3
"4","The College Dropout","Intro",1,"Somethin' beautiful, somethin' that the kids are gon' love when they hear it",4
"5","The College Dropout","Intro",1,"Tha's gon' make them start jumpin' up and down, and sharin' candy and stuff",5
"6","The College Dropout","Intro",1,"Think you could probably do somethin', for the kids, for graduation to sing?",6
"7","The College Dropout","We Don't Care",2,"Oh yeah...",1
"8","The College Dropout","We Don't Care",2,"I've got the perfect song for the kids to sing...",2
"9","The College Dropout","We Don't Care",2,"And all my people that's...",3
"10","The College Dropout","We Don't Care",2,"Drug dealin' just to get by",4
"11","The College Dropout","We Don't Care",2,"Stack your money 'til it get sky high",5
"12","The College Dropout","We Don't Care",2,"We wasn't supposed to make it past 25",6
"13","The College Dropout","We Don't Care",2,"Joke's on you, we still alive",7
"14","The College Dropout","We Don't Care",2,"Throw your hands up in the sky and say",8
"15","The College Dropout","We Don't Care",2,"""We don't care what people say""",9
"16","The College Dropout","We Don't Care",2,"If this is your first time hearin' this",10
"17","The College Dropout","We Don't Care",2,"You are about to experience somethin' so cold, man",11
"18","The College Dropout","We Don't Care",2,"We never had nothin' handed, took nothin' for granted",12
"19","The College Dropout","We Don't Care",2,"Took nothin' from no man, man, I'm my own man",13
"20","The College Dropout","We Don't Care",2,"But as a shorty, I looked up to the dopeman",14
"21","The College Dropout","We Don't Care",2,"Only adult man I knew that wasn't broke, man",15
"22","The College Dropout","We Don't Care",2,"Flickin' Starter coats, man, man, you don't know, man",16
"23","The College Dropout","We Don't Care",2,"We don't care what people say",17
"24","The College Dropout","We Don't Care",2,"This is for my niggas outside all winter",18
"25","The College Dropout","We Don't Care",2,"'Cause this summer they ain't finna say, ""Next summer, I'm finna""",19
"26","The College Dropout","We Don't Care",2,"Sittin' in the hood like community colleges",20
"27","The College Dropout","We Don't Care",2,"This dope money here is Lil' Trey's scholarship",21
"28","The College Dropout","We Don't Care",2,"'Cause ain't no tuition for having no ambition",22
"29","The College Dropout","We Don't Care",2,"And ain't no loans for sittin' your ass at home",23
"30","The College Dropout","We Don't Care",2,"So we forced to sell crack, rap, and get a job",24
"31","The College Dropout","We Don't Care",2,"You gotta do somethin' man, your ass is grown",25
"32","The College Dropout","We Don't Care",2,"Drug dealin' just to get by",26
"33","The College Dropout","We Don't Care",2,"Stack your money 'til it get sky high",27
"34","The College Dropout","We Don't Care",2,"(Kids, sing! Kids, sing!)",28
"35","The College Dropout","We Don't Care",2,"We wasn't supposed to make it past 25",29
"36","The College Dropout","We Don't Care",2,"Joke's on you, we still alive",30
"37","The College Dropout","We Don't Care",2,"Throw your hands up in the sky and say",31
"38","The College Dropout","We Don't Care",2,"""We don't care what people say""",32
"39","The College Dropout","We Don't Care",2,"The second verse is for my dogs workin' 9 to 5 that still hustle",33
"40","The College Dropout","We Don't Care",2,"'Cause a nigga can't shine off $6.55",34
"41","The College Dropout","We Don't Care",2,"And everybody sellin' makeup, Jacob's",35
"42","The College Dropout","We Don't Care",2,"And bootlegged tapes just to get they cake up",36
"43","The College Dropout","We Don't Care",2,"We put shit on layaway, then come back",37
"44","The College Dropout","We Don't Care",2,"We claim other people kids on our income tax",38
"45","The College Dropout","We Don't Care",2,"We take that money, cop work, then push packs to get paid",39
"46","The College Dropout","We Don't Care",2,"And we don't care what people say",40
"47","The College Dropout","We Don't Care",2,"Momma say she wanna move South",41
"48","The College Dropout","We Don't Care",2,"Scratchin' lottery tickets, eyes on a new house",42
"49","The College Dropout","We Don't Care",2,"'Round the same time, Doe ran up in dude house",43
"50","The College Dropout","We Don't Care",2,"Couldn't get a job, so since he couldn't get work",44
"51","The College Dropout","We Don't Care",2,"He figured he'd take work",45
"52","The College Dropout","We Don't Care",2,"The drug game bulimic, it's hard to get weight",46
"53","The College Dropout","We Don't Care",2,"A nigga's money is homo, it's hard to get straight",47
"54","The College Dropout","We Don't Care",2,"But we gon' keep bakin' til the day we get cake",48
"55","The College Dropout","We Don't Care",2,"And ""we don't care what people say""",49
"56","The College Dropout","We Don't Care",2,"Drug dealin' just to get by",50
"57","The College Dropout","We Don't Care",2,"Stack your money 'til it get sky high",51
"58","The College Dropout","We Don't Care",2,"(Kids, sing! Kids, sing!)",52
"59","The College Dropout","We Don't Care",2,"We wasn't supposed to make it past 25",53
"60","The College Dropout","We Don't Care",2,"Joke's on you, we still alive",54
"61","The College Dropout","We Don't Care",2,"Throw your hands up in the sky and say",55
"62","The College Dropout","We Don't Care",2,"""We don't care what people say""",56
"63","The College Dropout","We Don't Care",2,"You know the kids gon' act a fool",57
